Extracurricular Activities,Previous Scores,Hours Studied,Sleep Hours,Sample Question Papers Practiced,Performance Index
Yes,61,6,4,3,52
No,93,6,8,9,84
No,51,9,9,3,50
Yes,57,5,8,7,47
Yes,95,4,8,3,81
No,85,5,4,8,70
Yes,86,5,8,7,77
No,54,8,6,4,49
No,76,8,5,8,70
No,55,2,5,7,28
No,44,7,8,9,36
No,41,8,9,3,34
Yes,91,6,7,3,80
No,67,5,8,0,51
No,96,9,9,3,95
No,80,3,8,7,60
No,93,4,4,4,78
No,66,9,9,5,65
No,70,6,7,3,57
Yes,80,8,8,4,75
Yes,75,7,6,9,69
No,86,2,9,7,62
No,82,3,5,8,63
No,40,1,9,2,11
Yes,89,9,6,9,91
No,68,7,6,3,58
No,40,1,6,0,15
No,47,3,7,4,24
No,96,4,7,3,80
No,55,4,9,5,36
No,97,5,7,5,83
Yes,67,3,5,9,49
No,61,3,4,5,41
No,57,1,9,2,33
No,61,7,8,6,52
No,80,1,8,2,52
No,51,2,9,5,31
No,58,4,4,9,38
No,64,4,8,0,45
No,89,5,9,7,79
No,98,2,9,6,78
Yes,44,4,6,8,24
Yes,98,1,5,2,72
Yes,73,2,8,7,52
No,78,1,5,1,50
Yes,98,4,9,8,83
Yes,49,4,4,0,32
Yes,86,7,9,9,84
Yes,96,9,8,6,95
No,46,9,5,9,43
Yes,99,5,6,0,82
Yes,76,1,6,5,54
No,86,1,9,0,59
Yes,91,6,4,3,78
No,99,2,7,6,79
Yes,91,8,8,1,87
Yes,54,9,9,2,53
Yes,81,4,6,3,65
No,63,5,6,5,48
Yes,65,8,4,8,61
Yes,65,3,6,3,41
No,85,5,8,5,75
Yes,65,3,4,6,44
Yes,97,3,5,3,79
Yes,49,3,4,5,29
Yes,56,7,8,2,44
Yes,92,7,8,4,85
No,53,7,5,9,40
No,41,8,9,3,36
No,87,5,4,6,72
Yes,52,5,8,5,36
Yes,66,4,8,6,51
Yes,48,7,5,5,38
Yes,46,4,7,1,28
Yes,87,2,4,6,59
No,49,4,8,7,30
No,95,8,6,6,88
No,93,9,5,3,87
Yes,48,3,7,3,27
No,61,7,7,4,51
No,62,9,5,8,59
No,46,4,7,4,23
No,87,3,8,1,71
Yes,48,5,7,4,33
Yes,66,1,4,2,38
No,63,3,6,9,45
No,68,8,8,7,67
No,56,8,5,9,49
No,59,4,6,9,44
No,46,2,9,1,22
No,82,8,8,3,79
No,79,8,6,4,74
No,46,4,7,3,26
No,67,3,9,4,49
Yes,58,2,5,9,33
No,59,9,5,3,53
Yes,83,1,4,2,53
Yes,78,7,7,0,69
No,79,5,4,3,65
No,46,8,4,8,37
Yes,45,4,7,0,28
Yes,64,7,8,6,56
No,80,5,9,2,64
Yes,98,5,4,7,83
No,52,9,6,5,50
No,78,9,9,0,77
Yes,79,9,8,9,79
No,61,6,7,4,49
Yes,88,6,5,7,77
No,56,5,8,2,40
No,87,9,4,3,83
Yes,61,8,6,6,53
Yes,73,7,9,5,66
No,47,7,7,6,42
No,88,6,5,8,76
Yes,84,5,9,8,75
No,57,4,6,1,40
Yes,63,3,5,2,45
Yes,99,3,7,3,73
Yes,93,6,9,5,84
No,99,4,8,4,84
Yes,81,6,4,5,71
No,41,3,7,7,23
Yes,41,4,6,1,24
No,66,9,8,5,64
No,53,5,9,8,38
Yes,87,7,5,4,74
Yes,78,2,8,0,58
Yes,92,5,8,7,78
No,92,9,6,3,88
No,95,3,4,7,76
No,51,9,8,3,48
Yes,71,6,8,7,59
Yes,67,4,4,8,46
Yes,94,7,4,4,84
Yes,67,8,5,4,61
Yes,85,6,9,1,76
No,64,5,5,8,49
Yes,43,6,4,3,30
No,65,5,7,2,47
Yes,75,8,4,1,70
Yes,89,1,5,2,69
Yes,42,7,6,3,35
Yes,40,2,6,8,20
Yes,56,9,9,5,55
No,46,1,8,9,19
Yes,87,6,6,4,74
No,44,9,5,8,42
No,58,1,6,7,34
No,78,4,7,5,59
No,85,4,4,2,67
Yes,73,9,4,6,70
Yes,74,5,5,9,61
Yes,88,5,8,5,76
Yes,55,6,4,7,44
Yes,79,1,6,5,50
No,89,1,7,9,68
Yes,86,9,8,3,87
Yes,78,3,8,9,60
No,66,4,8,6,47
Yes,80,1,4,6,55
Yes,77,9,9,7,73
No,89,8,8,1,87
Yes,89,2,5,5,66
No,64,8,6,2,56
No,65,7,9,7,59
Yes,95,6,7,3,83
No,53,1,6,3,26
Yes,53,7,5,1,41
Yes,53,7,5,5,45
Yes,64,9,9,5,63
No,75,1,6,0,50
No,43,2,4,7,15
No,86,9,5,2,79
No,54,9,8,0,49
No,71,6,7,9,63
No,57,6,7,0,42
No,53,4,5,0,32
No,97,4,8,4,84
No,40,5,6,4,26
No,81,3,7,0,62
No,59,1,8,4,33
Yes,49,1,8,6,28
No,49,7,4,4,36
Yes,98,1,5,8,73
Yes,63,1,8,3,37
Yes,73,3,6,8,53
Yes,67,4,7,7,48
No,66,4,4,0,48
Yes,79,2,6,3,54
Yes,40,1,7,6,12
Yes,72,3,5,0,46
No,43,4,6,7,24
Yes,46,3,7,1,26
Yes,48,8,4,7,42
No,55,1,7,3,28
No,44,2,8,7,20
No,73,7,4,0,61
No,99,4,6,4,80
No,62,8,9,8,62
No,82,3,5,6,59
No,89,6,4,2,74
No,64,9,4,3,59
No,96,1,4,9,68
Yes,90,1,7,6,66
No,52,8,8,5,43
Yes,63,3,9,3,44
Yes,50,5,5,2,34
No,91,1,5,1,62
No,90,5,8,9,77
No,56,6,7,8,44
No,76,8,7,2,69
Yes,52,3,8,6,35
Yes,66,3,8,0,50
No,59,9,6,7,50
Yes,72,4,7,0,54
No,81,4,4,1,59
Yes,71,7,5,0,60
Yes,47,2,7,3,25
No,95,8,8,1,94
No,68,6,4,0,53
Yes,79,3,6,0,59
No,58,9,9,1,53
Yes,45,5,6,5,29
No,83,8,4,1,73
No,99,7,4,1,87
No,78,8,8,7,72
No,87,7,9,4,82
No,80,3,8,7,60
No,60,2,5,7,38
No,96,7,9,1,89
Yes,61,3,9,6,45
No,81,3,5,8,57
Yes,49,2,6,7,27
No,49,4,4,8,31
Yes,91,8,6,7,86
No,68,1,8,3,45
No,55,1,7,9,30
Yes,40,5,8,6,28
No,56,5,7,8,43
No,69,1,4,8,43
No,65,6,4,3,52
No,92,1,9,6,68
No,85,5,4,5,73
Yes,58,9,5,2,56
No,92,5,5,9,78
Yes,60,6,7,5,49
Yes,56,8,6,7,52
Yes,85,1,9,1,62
Yes,79,2,6,2,59
Yes,60,9,7,7,60
Yes,92,3,5,3,71
Yes,80,6,8,3,68
Yes,79,5,9,1,68
No,84,2,7,9,63
Yes,88,7,6,0,77
No,58,4,7,6,43
Yes,99,1,7,3,77
Yes,46,4,4,5,28
No,56,6,5,7,47
Yes,40,7,9,6,34
No,76,7,4,6,64
Yes,96,7,5,5,88
No,45,3,7,3,21
No,65,6,5,3,53
Yes,41,8,6,8,34
Yes,98,4,9,4,83
Yes,71,8,4,8,67
Yes,96,2,9,8,75
No,87,9,7,3,88
No,93,9,6,1,87
No,44,8,5,1,32
No,76,1,5,8,50
No,70,2,6,8,50
No,51,6,5,2,38
No,74,5,4,4,57
Yes,69,9,8,4,64
Yes,87,5,5,1,71
Yes,45,2,7,1,19
Yes,54,4,5,9,38
Yes,54,9,9,0,52
Yes,55,1,7,1,27
Yes,59,1,5,6,32
Yes,52,7,5,0,45
No,83,3,7,0,61
Yes,81,2,4,8,57
Yes,85,9,8,1,83
Yes,70,3,8,3,48
No,73,2,4,2,50
Yes,68,8,5,3,61
No,42,6,8,6,29
No,48,6,4,9,37
Yes,50,7,4,1,39
No,50,7,8,1,39
Yes,64,6,7,8,54
Yes,61,4,6,5,46
Yes,81,9,7,6,78
No,97,6,5,4,83
Yes,85,4,7,4,64
Yes,48,3,9,3,26
Yes,59,4,6,7,41
No,98,3,6,6,76
No,60,2,4,9,35
No,49,5,9,1,39
No,61,2,5,1,39
Yes,68,6,4,5,54
Yes,48,3,7,0,28
No,44,6,7,6,30
Yes,79,9,8,7,81
No,50,1,4,9,24
Yes,40,6,9,7,32
Yes,92,9,4,2,87
No,81,4,4,6,66
No,40,2,4,0,13
Yes,97,4,6,2,76
No,93,1,8,5,68
Yes,78,3,5,8,57
Yes,99,9,5,4,98
Yes,85,5,5,4,69
Yes,44,6,6,8,34
No,88,3,8,8,68
Yes,61,5,9,5,47
Yes,65,8,8,4,60
Yes,92,6,6,9,83
No,45,4,9,1,25
Yes,71,2,4,7,50
No,87,9,7,7,87
No,50,1,4,6,22
No,49,1,5,7,22
No,86,4,4,2,62
No,78,7,6,2,72
No,94,1,5,1,66
No,73,9,7,0,71
Yes,70,4,9,2,53
Yes,51,3,9,2,32
No,90,1,5,6,65
No,83,4,4,9,65
No,55,9,8,8,50
Yes,77,6,8,0,66
No,42,6,9,7,29
Yes,41,1,8,0,13
Yes,91,2,5,2,66
No,44,6,8,3,32
Yes,50,2,6,7,26
No,97,3,9,0,75
No,64,4,7,1,46
No,74,5,8,4,62
Yes,74,9,6,5,69
No,61,4,6,4,43
Yes,76,9,5,2,74
No,61,3,9,9,43
No,94,8,5,6,86
No,50,1,7,0,24
No,71,9,7,1,67
No,74,9,4,8,71
Yes,70,2,7,3,48
No,84,4,9,7,64
No,92,8,9,8,88
No,47,7,5,6,39
Yes,59,1,6,0,35
No,81,5,4,4,67
No,73,7,7,5,65
No,43,4,6,7,27
No,57,1,5,9,32
Yes,90,9,8,7,89
No,43,5,4,8,30
Yes,59,2,9,8,37
Yes,97,8,6,3,91
Yes,48,2,5,5,26
Yes,55,3,5,2,32
No,65,1,4,0,34
No,77,2,4,5,51
Yes,64,7,7,0,56
Yes,43,2,7,8,26
Yes,80,6,9,5,73
No,98,3,9,0,80
Yes,84,4,4,2,69
Yes,80,8,4,0,73
Yes,77,3,6,1,55
Yes,92,6,7,5,82
Yes,58,1,5,6,32
No,53,7,7,0,41
Yes,60,8,7,9,55
No,54,8,4,4,43
No,42,3,4,5,20
No,76,1,7,3,50
No,92,9,8,5,90
No,89,6,8,4,82
Yes,85,9,9,6,85
No,55,7,7,3,49
No,53,1,8,0,24
Yes,48,1,9,1,25
No,86,6,9,5,76
Yes,46,5,7,9,33
Yes,53,9,9,1,48
Yes,45,2,4,4,21
Yes,60,8,4,3,58
Yes,54,5,4,6,40
No,91,2,5,3,67
Yes,47,6,4,6,35
Yes,73,8,4,7,68
No,79,4,7,6,66
No,40,2,8,1,16
No,71,5,8,0,57
No,97,2,4,4,73
Yes,88,2,4,6,64
No,90,6,4,0,77
Yes,44,9,9,7,46
No,69,4,7,2,50
No,61,6,7,6,50
No,59,7,7,2,51
No,55,6,8,3,43
No,46,8,5,7,40
Yes,46,4,8,1,30
Yes,89,1,7,5,63
Yes,89,7,6,9,82
No,41,3,5,8,20
Yes,86,6,4,9,73
No,53,2,9,8,32
No,70,9,8,4,67
Yes,89,1,9,2,69
Yes,80,6,5,5,67
No,53,6,6,8,44
No,44,5,5,5,29
Yes,50,5,8,3,38
No,79,1,7,4,52
Yes,44,5,4,6,25
Yes,68,2,7,9,46
No,50,7,7,2,42
No,44,3,8,8,24
No,88,4,7,0,70
No,93,3,7,7,78
Yes,71,3,8,4,51
No,75,4,8,9,61
Yes,54,5,6,8,38
Yes,58,1,7,1,34
No,61,4,5,0,42
Yes,73,8,4,9,68
No,95,7,9,6,87
No,56,9,4,9,53
Yes,51,5,8,8,39
Yes,64,4,9,4,45
Yes,95,8,8,3,89
No,56,9,6,3,53
No,49,7,7,7,39
Yes,67,7,8,0,59
No,96,5,8,0,81
No,57,4,4,7,40
Yes,90,1,7,1,64
No,57,7,6,9,53
Yes,84,1,8,5,56
Yes,71,1,8,1,44
Yes,53,5,8,4,41
No,95,9,4,2,91
Yes,55,6,8,6,46
Yes,89,3,8,8,65
Yes,97,3,4,1,76
Yes,57,7,8,6,50
No,55,6,7,7,45
Yes,56,9,7,9,55
No,46,6,4,7,33
Yes,51,5,7,6,37
No,73,7,9,3,63
No,49,1,9,3,24
No,44,7,9,9,37
No,60,3,6,8,39
Yes,42,9,8,9,41
Yes,58,6,6,8,46
No,84,9,7,4,78
No,83,5,4,6,69
No,74,7,9,6,71
Yes,45,4,4,8,28
No,53,7,6,6,45
No,43,1,7,7,20
Yes,84,7,8,6,81
Yes,90,8,7,3,85
Yes,57,5,9,1,42
Yes,68,2,7,2,46
Yes,74,5,4,6,60
Yes,91,6,5,8,82
No,77,2,9,1,55
No,55,6,8,6,44
Yes,59,6,9,3,47
No,63,1,9,6,41
Yes,74,1,8,4,48
No,83,3,9,6,62
Yes,90,3,4,5,64
Yes,58,4,7,1,40
No,95,2,4,6,70
No,43,9,7,4,39
Yes,72,7,5,8,63
Yes,41,7,9,0,32
Yes,52,6,5,0,37
Yes,97,3,6,1,75
Yes,84,6,7,7,72
Yes,69,8,4,8,63
No,73,8,4,6,64
No,69,9,9,0,69
No,90,1,4,6,63
No,93,1,6,7,65
No,63,3,8,6,44
Yes,87,3,4,4,65
Yes,83,8,9,6,81
No,72,1,5,9,45
Yes,80,2,4,1,59
No,88,2,4,8,67
No,49,3,4,1,34
Yes,57,6,9,1,46
Yes,58,1,8,4,35
No,46,2,4,7,22
No,96,1,8,5,72
No,58,5,8,8,47
No,63,7,6,5,55
Yes,54,8,5,4,47
No,80,1,4,0,55
Yes,81,7,4,7,74
No,62,5,4,2,49
No,91,1,8,1,68
Yes,91,3,7,6,72
Yes,43,7,5,1,32
Yes,77,1,9,0,51
Yes,43,7,4,1,34
Yes,44,5,7,5,33
No,80,1,7,1,56
No,83,1,7,0,54
No,62,1,5,0,33
Yes,79,9,7,3,78
Yes,92,3,9,7,77
Yes,76,5,4,5,62
No,50,9,9,3,51
Yes,94,6,4,5,78
No,50,9,6,5,46
No,52,8,8,8,50
No,53,8,7,3,47
Yes,99,1,9,5,74
No,47,9,8,9,47
No,64,6,8,0,52
No,57,9,8,6,54
Yes,90,3,8,6,69
No,83,3,8,0,64
Yes,83,6,4,7,69
Yes,57,9,5,4,58
No,49,7,7,8,37
No,46,3,7,7,26
Yes,99,3,4,2,80
No,89,2,9,0,64
Yes,83,9,4,2,78
Yes,53,3,8,1,35
Yes,54,5,5,1,36
No,55,9,7,3,55
Yes,41,8,9,1,36
Yes,69,2,6,7,46
No,69,3,4,4,51
No,57,2,6,0,30
Yes,70,8,7,5,68
Yes,83,6,4,6,69
Yes,87,6,7,0,78
No,52,9,4,2,51
Yes,59,8,9,8,55
Yes,88,4,7,6,72
No,89,4,6,3,71
No,74,9,5,5,69
Yes,62,1,9,5,38
No,81,2,9,2,61
Yes,72,2,4,1,49
Yes,77,6,6,4,67
No,74,4,7,7,56
Yes,90,3,6,2,68
Yes,75,3,9,4,60
No,59,3,4,2,34
Yes,94,6,6,6,83
No,42,8,7,5,37
Yes,47,7,8,5,42
No,79,4,9,0,62
No,98,4,5,1,80
No,71,2,5,5,46
No,68,1,9,7,47
No,46,9,8,4,46
No,41,2,4,1,13
Yes,60,8,6,4,55
Yes,45,9,6,8,42
No,67,4,8,5,51
Yes,87,8,8,4,81
No,81,9,7,9,75
No,75,5,7,5,59
Yes,71,7,5,8,62
No,84,4,4,6,65
Yes,81,1,4,9,51
No,92,3,8,2,73
No,85,5,5,9,68
Yes,48,3,5,9,28
No,50,7,7,4,39
No,62,9,6,3,55
No,89,6,4,4,76
Yes,50,1,5,7,24
Yes,88,7,7,5,81
Yes,41,3,7,3,24
Yes,42,5,7,4,29
Yes,50,4,6,6,37
No,89,5,5,7,74
Yes,98,5,8,4,84
Yes,74,6,8,1,64
No,97,6,7,5,90
No,54,8,7,8,46
Yes,82,8,6,2,79
No,50,9,7,6,48
No,70,8,9,7,65
No,67,2,5,5,46
Yes,67,1,7,2,39
No,71,2,7,0,49
No,64,2,5,2,39
Yes,59,3,4,5,40
No,67,7,9,3,60
No,64,2,9,0,43
Yes,50,1,8,5,25
Yes,58,6,7,0,45
Yes,67,9,5,7,64
No,40,3,8,2,20
Yes,98,6,6,2,87
Yes,44,3,4,0,23
No,49,1,7,2,23
No,81,5,4,6,67
No,85,4,7,9,74
No,73,7,7,7,64
No,75,6,7,7,66
Yes,41,7,4,2,29
Yes,57,5,9,4,42
Yes,52,4,6,0,37
No,90,7,9,8,82
Yes,44,7,5,7,35
No,59,6,5,9,46
No,41,8,9,1,40
Yes,50,4,6,9,34
Yes,69,5,6,0,52
No,71,4,7,3,52
No,71,1,7,8,50
Yes,97,8,5,7,91
Yes,89,1,7,2,64
No,77,5,7,9,67
No,94,6,6,5,85
No,67,6,4,8,53
No,49,5,9,9,35
Yes,61,3,8,7,41
Yes,94,5,8,9,81
No,56,8,7,4,52
No,61,2,7,8,39
Yes,82,6,9,8,72
No,58,9,8,2,55
No,56,8,6,7,49
No,63,8,8,3,60
No,75,8,8,9,69
No,71,7,8,6,63
No,97,8,7,9,94
Yes,95,6,7,7,86
No,97,2,9,6,75
Yes,85,2,8,4,66
Yes,98,8,7,0,97
Yes,91,1,9,7,71
No,75,6,8,4,59
No,67,6,6,2,54
No,53,4,7,1,34
Yes,97,3,4,2,77
Yes,75,3,9,8,60
No,45,1,7,1,16
No,48,3,6,9,30
Yes,60,4,6,0,42
Yes,51,5,7,1,36
Yes,97,3,5,1,77
No,69,6,9,4,58
Yes,70,5,8,0,58
Yes,79,3,8,9,60
Yes,95,6,6,7,87
No,43,6,7,1,30
No,70,8,5,5,59
No,66,2,9,4,42
Yes,97,1,4,1,70
Yes,96,4,8,9,82
Yes,64,7,9,0,56
Yes,44,3,9,5,24
No,45,3,5,5,27
Yes,44,5,9,2,33
Yes,90,5,8,7,75
No,66,3,7,8,45
Yes,47,9,8,2,45
Yes,48,4,4,8,30
Yes,54,3,7,7,29
No,75,2,6,4,50
Yes,96,9,5,5,95
No,80,4,8,0,63
Yes,46,3,7,4,24
No,71,7,9,9,63
No,47,8,7,9,41
No,86,2,8,6,69
Yes,90,7,6,0,81
Yes,54,5,8,9,40
No,76,5,6,8,66
No,58,3,9,6,40
Yes,78,5,8,3,63
No,45,2,7,3,21
Yes,98,4,4,9,81
Yes,58,6,4,6,47
No,96,1,9,5,69
No,67,4,7,2,47
Yes,56,6,4,8,44
Yes,81,9,9,5,78
Yes,58,2,6,1,36
No,70,7,7,9,60
Yes,50,6,6,1,43
No,54,2,7,0,30
No,49,8,6,4,43
Yes,82,7,6,9,75
No,62,5,4,5,46
No,42,5,7,2,29
No,42,7,8,3,33
No,57,9,4,4,51
Yes,64,9,6,3,58
Yes,82,9,6,8,81
No,59,6,8,2,49
No,97,6,8,4,84
No,68,3,6,6,47
No,61,1,8,6,38
No,89,7,5,5,78
Yes,96,4,4,8,77
Yes,54,1,7,6,29
Yes,78,8,8,3,76
Yes,49,6,8,9,41
No,60,6,5,8,51
No,94,2,7,5,70
Yes,91,1,5,0,63
Yes,68,2,7,8,46
Yes,71,4,4,6,53
No,49,2,8,5,25
No,52,1,4,5,26
No,86,7,7,3,74
Yes,62,8,8,3,57
Yes,89,6,5,2,80
No,62,4,6,7,45
No,70,6,5,7,56
No,43,3,6,1,19
Yes,91,8,5,4,86
No,88,2,7,8,70
No,99,5,4,8,85
Yes,42,1,6,6,16
No,60,6,7,3,47
No,92,2,4,3,65
No,41,4,4,9,23
No,43,6,8,6,29
Yes,40,8,8,2,36
No,54,8,8,2,49
Yes,96,6,6,4,85
No,72,4,6,5,56
Yes,45,8,4,7,39
No,46,8,6,0,40
No,58,1,4,6,33
Yes,83,4,7,7,67
No,40,4,5,4,19
No,78,7,4,9,74
Yes,58,7,4,1,47
No,84,8,7,3,77
No,65,5,8,5,52
No,83,7,9,8,76
No,51,8,8,1,42
No,61,9,8,3,56
Yes,52,3,4,9,30
Yes,67,3,4,4,47
No,53,4,6,7,34
No,61,5,6,7,48
Yes,69,1,5,1,42
Yes,83,7,5,5,74
Yes,59,9,9,5,58
Yes,83,8,6,4,75
Yes,66,5,4,7,54
Yes,77,4,7,9,62
No,98,7,6,1,88
No,81,5,4,1,64
No,91,7,6,6,81
No,95,1,8,8,69
No,80,1,6,2,51
Yes,73,3,9,6,52
Yes,78,2,8,2,58
Yes,80,2,4,5,55
Yes,96,7,8,2,86
Yes,83,2,6,0,62
Yes,76,4,8,5,60
No,40,2,9,2,15
No,93,6,7,0,82
Yes,54,8,8,4,52
No,71,4,9,7,57
Yes,47,5,8,7,34
No,72,4,5,7,55
Yes,57,3,7,2,39
Yes,84,5,4,7,73
No,68,9,9,3,64
Yes,71,8,8,7,67
No,72,8,7,2,67
No,44,8,4,2,36
Yes,57,8,7,0,52
Yes,87,7,9,7,85
Yes,97,8,5,7,91
No,49,8,9,8,42
No,75,8,9,5,74
Yes,72,7,4,1,65
Yes,62,1,4,0,36
Yes,79,4,8,7,63
Yes,44,4,6,9,29
Yes,73,5,9,3,60
Yes,63,6,4,6,50
Yes,56,4,9,9,40
No,70,2,9,3,48
No,46,6,4,0,33
Yes,56,8,5,7,51
Yes,67,8,5,9,64
No,77,7,9,8,70
Yes,61,6,5,9,49
No,54,2,9,8,33
No,76,7,8,8,69
Yes,54,5,4,3,41
No,89,6,9,8,79
No,89,8,5,3,81
Yes,64,8,5,1,57
Yes,92,3,7,9,73
No,60,7,7,2,49
Yes,94,1,5,1,64
No,77,1,8,0,49
No,41,7,6,5,31
No,66,9,9,3,61
No,88,7,7,6,81
No,71,5,9,6,59
No,60,8,7,9,54
Yes,43,2,4,0,18
Yes,83,9,4,8,80
Yes,58,6,5,7,43
Yes,41,9,4,9,39
No,65,2,4,0,39
No,73,3,6,7,51
No,53,8,8,4,49
No,54,1,5,0,27
No,59,7,6,3,51
Yes,73,7,5,6,64
Yes,75,1,8,4,51
Yes,58,9,5,2,56
No,48,8,9,3,46
No,46,4,9,1,28
Yes,69,5,9,7,57
No,52,2,4,1,28
No,66,9,8,5,65
Yes,83,6,6,6,71
No,74,3,6,6,54
Yes,52,7,7,0,44
Yes,54,9,6,7,52
Yes,85,3,9,8,71
Yes,95,2,9,6,74
No,48,7,7,7,38
No,84,7,4,3,75
No,62,4,6,7,43
Yes,93,9,8,2,90
No,75,8,7,0,69
Yes,92,1,6,7,67
No,79,1,4,5,52
No,42,5,8,8,27
Yes,73,6,8,2,63
No,58,3,4,7,41
Yes,67,9,6,8,67
Yes,62,6,5,8,47
No,79,4,6,6,61
No,88,7,7,9,82
No,84,8,7,2,75
No,46,9,6,2,37
Yes,80,6,9,1,68
Yes,51,6,7,0,37
No,53,8,5,1,49
No,85,5,9,4,73
No,54,3,5,0,32
Yes,42,3,8,9,23
No,54,6,7,3,43
Yes,90,2,9,9,70
No,63,6,6,9,53
No,91,6,9,0,81
Yes,85,8,8,9,84
Yes,47,7,5,7,38
No,44,8,8,4,40
Yes,90,9,4,9,88
Yes,43,6,7,3,32
No,53,3,6,2,31
Yes,55,3,5,8,35
Yes,59,1,8,5,34
No,63,5,6,0,49
No,45,4,7,7,28
Yes,94,9,6,9,91
No,96,9,7,1,90
Yes,70,5,7,8,55
Yes,45,4,7,6,27
Yes,74,7,8,2,67
No,54,6,7,3,41
Yes,68,4,6,2,53
Yes,42,2,4,5,15
Yes,50,1,6,8,26
No,42,4,8,9,22
No,67,4,7,8,48
No,49,1,4,0,19
Yes,89,6,8,9,78
Yes,72,4,5,5,53
No,87,1,5,0,61
Yes,55,1,5,3,30
Yes,98,1,4,6,70
Yes,49,8,6,3,42
Yes,72,8,4,8,67
No,75,2,4,9,51
No,42,7,4,4,35
No,44,8,5,8,38
Yes,51,8,9,0,44
Yes,96,7,6,3,86
No,83,5,9,6,68
No,52,1,9,1,25
No,63,9,4,8,59
Yes,83,7,6,2,74
No,96,2,9,3,73
Yes,71,6,7,3,61
No,55,2,4,7,32
Yes,71,1,4,1,41
Yes,84,7,4,4,72
No,76,2,7,1,51
Yes,95,2,7,5,72
Yes,75,5,5,8,60
No,60,5,8,8,46
No,86,7,6,0,77
No,51,1,8,3,23
Yes,90,8,4,3,82
Yes,60,3,9,0,37
No,99,4,4,9,80
No,90,9,9,1,87
Yes,60,4,5,5,41
No,82,5,8,9,67
No,92,7,4,2,81
Yes,45,4,8,8,30
Yes,48,1,5,2,19
No,40,9,8,2,39
Yes,51,4,9,8,34
Yes,97,9,6,2,93
No,53,6,5,5,43
No,45,1,8,5,21
No,40,3,4,0,17
Yes,61,2,7,6,40
No,73,9,7,8,68
Yes,95,1,5,8,74
No,50,9,7,8,45
Yes,42,9,6,1,38
Yes,81,8,5,0,76
No,45,8,4,5,38
Yes,45,1,4,5,18
No,59,8,5,3,54
No,60,3,7,7,42
Yes,41,7,7,4,31
Yes,65,1,4,6,42
Yes,70,1,6,8,44
No,65,5,9,0,54
No,95,5,7,8,83
No,71,8,6,3,64
No,49,7,7,6,38
No,62,8,9,3,57
No,97,6,5,3,83
Yes,45,6,8,3,34
No,62,2,4,5,39
No,67,6,5,4,56
No,88,5,7,1,76
No,69,3,9,8,49
Yes,53,6,4,5,41
Yes,76,8,8,9,69
Yes,94,9,8,5,93
No,71,1,9,8,44
No,88,3,9,0,73
No,73,3,7,6,56
Yes,80,8,4,2,70
No,83,1,7,3,56
No,90,5,8,0,77
Yes,61,3,5,2,40
Yes,70,2,5,6,47
No,46,8,6,5,40
Yes,80,3,8,0,62
No,60,7,8,8,57
No,55,1,7,3,26
Yes,59,6,6,6,47
No,82,3,9,3,59
Yes,83,8,6,6,78
Yes,86,6,4,4,77
No,89,2,7,0,67
Yes,58,6,9,3,49
No,87,7,9,2,80
No,71,5,5,5,54
Yes,54,3,4,5,30
Yes,44,4,6,0,29
Yes,50,4,5,1,31
No,54,6,8,1,42
No,68,1,7,9,39
No,89,4,6,3,70
No,84,4,8,8,69
No,43,1,9,1,18
No,88,9,6,7,89
No,75,4,5,0,56
Yes,87,7,4,7,78
No,62,3,5,2,44
No,54,3,7,4,36
Yes,85,8,7,0,76
No,83,8,6,0,79
No,42,1,5,5,12
Yes,71,2,4,2,48
No,49,8,9,7,46
Yes,79,1,7,3,54
No,77,8,4,5,69
No,61,8,8,9,56
Yes,53,2,6,8,26
Yes,56,4,4,7,39
No,60,6,6,3,48
No,90,9,8,9,92
Yes,87,8,4,7,81
No,54,8,4,6,46
Yes,97,7,9,4,89
Yes,54,9,8,6,51
Yes,40,2,5,6,16
No,63,3,4,9,40
No,94,8,9,1,90
No,94,6,4,6,83
Yes,51,9,9,2,46
No,49,4,7,7,32
Yes,85,8,5,7,82
Yes,81,3,4,8,63
No,81,3,8,3,59
No,91,8,6,9,89
Yes,70,5,8,2,55
No,50,3,5,8,29
Yes,93,1,7,8,68
No,55,3,7,1,32
Yes,48,9,7,5,44
No,86,5,9,2,75
Yes,53,2,8,4,33
No,58,7,6,1,49
Yes,70,2,6,3,47
Yes,48,4,9,2,35
Yes,75,7,4,1,67
Yes,92,4,9,5,77
Yes,78,7,6,2,65
Yes,93,7,6,3,86
No,65,1,4,5,40
Yes,47,6,8,4,37
Yes,63,9,8,3,57
No,47,2,5,3,23
No,58,3,8,1,42
Yes,86,5,7,9,73
No,87,9,7,3,88
No,69,4,5,7,53
Yes,97,1,6,4,72
Yes,61,4,5,9,47
No,94,6,4,9,81
No,48,5,5,7,30
No,97,1,5,5,68
No,97,4,9,9,83
No,83,6,7,4,73
No,87,4,4,3,67
Yes,43,9,9,9,45
No,76,5,4,8,61
Yes,47,8,5,9,43
Yes,40,9,9,4,37
No,67,5,9,9,54
Yes,45,6,4,5,29
No,86,1,4,6,59
Yes,75,7,8,0,67
No,92,4,4,8,73
Yes,50,2,9,7,29
No,44,5,6,4,29
Yes,89,3,4,2,67
No,63,6,7,4,51
Yes,86,8,8,4,80
Yes,57,7,7,8,48
Yes,59,3,7,6,42
No,67,8,6,1,57
No,52,2,8,4,31
No,44,9,5,8,38
